sample,m0,m1,m2,m3,m4,m5
wt,30.24,26.93,22.21,8.18,12.45,0
wt,29.81,22.9,30.4,12.83,4.06,0
wt,21.09,31.47,24.79,10.61,12.04,0
wt,23.77,28.31,27.31,11.72,8.88,0
mut_1,22.36,32.89,26.71,10.01,8.04,0
mut_1,24.57,30.71,24.06,10.46,10.20,0
mut_1,22.28,28.13,23.74,14.65,11.2,0
mut_1,24.68,28.74,25.47,10.89,10.22,0
mut_2,22.83,27.6,24.28,10.59,14.71,0
mut_2,23.27,30.4,19.93,9.43,13.7,3.28
mut_2,23.4,30.87,23.12,10.78,9.7,2.13
