sample,m0,m1,m2,m3,m4
wt,37.78,39.36,18.82,4.04,0
wt,33.58,41.30,20.82,4.30,0
wt,36.31,40.03,19.35,4.31,0
wt,32.59,42.27,20.52,4.62,0
mut_1,32.38,42.40,20.68,4.55,0
mut_1,30.80,42.86,21.50,4.84,0
mut_1,31.55,42.75,21.31,4.39,0
mut_2,32.37,41.93,21.14,4.57,0
mut_2,32.44,42.04,21.09,4.43,0
mut_2,31.90,42.43,21.17,4.50,0
