sample,m0,m1,m2,m3,m4,m5,m6
wt,21.05,35.10,27.90,12.85,3.10,0,0
wt,19.27,35.57,28.58,12.89,3.70,0,0
wt,18.23,35.56,29.09,13.75,3.37,0,0
wt,17.91,36.21,28.89,13.82,3.16,0,0
mut_1,17.75,36.29,29.13,13.54,3.30,0,0
mut_1,18.64,35.33,28.57,14.07,3.39,0,0
mut_1,18.05,35.16,29.12,14.22,3.46,0,0
mut_1,18.77,35.98,28.30,13.46,3.50,0,0
mut_2,17.65,35.99,29.11,13.90,3.36,0,0
mut_2,19.02,34.36,28.88,14.26,3.47,0,0
mut_2,16.77,36.00,30.00,13.92,3.32,0,0
