sample,m0,m1,m2,m3,m4,m5
wt,100,0,0,0,0,0
wt,100,0,0,0,0,0
wt,100,0,0,0,0,0
mut_1,63.76,36.24,0,0,0,0
mut_1,54.13,45.87,0,0,0,0
mut_1,79.49,20.51,0,0,0,0
mut_1,78.19,21.81,0,0,0,0
mut_2,83.53,16.47,0,0,0,0
mut_2,57.38,42.62,0,0,0,0
