sample,m0,m1,m2,m3,m4
wt,33.57,43.47,18.11,4.85,0
wt,35.41,47.26,15.96,1.37,0
mut_1,44.25,55.75,0,0,0
mut_1,44.72,55.28,0,0,0
mut_1,44.79,55.21,0,0,0
mut_2,36.54,45.19,15.92,2.35,0
mut_2,33.16,43.04,19.96,3.84,0
