sample,m0,m1,m2,m3,m4
wt,88.97,11.03,0,0,0
wt,92.65,7.35,0,0,0
wt,91.63,8.37,0,0,0
wt,87.48,12.52,0,0,0
mut_1,49.67,33.42,13.57,3.34,0
mut_1,53.78,30.25,13.00,2.96,0
mut_1,61.06,26.12,10.21,2.61,0
mut_1,55.29,29.41,12.53,2.77,0
mut_2,73.71,18.55,5.93,1.82,0
mut_2,74.02,18.08,6.05,1.85,0
