gene,value
ADVE02_v2_10178,140.4204664
ADVE02_v2_10179,29.46282977
ADVE02_v2_10180,176.4059417
ADVE02_v2_10181,32.17760889
ADVE02_v2_10182,3830.837293
ADVE02_v2_10183,44.78519331
ADVE02_v2_10184,70.13016173
ADVE02_v2_10185,24.28534002
ADVE02_v2_10186,28.10240373
ADVE02_v2_10187,48.17335334
ADVE02_v2_10188,122.4548154
ADVE02_v2_10189,26.34078083
ADVE02_v2_10190,48.46625723
ADVE02_v2_10191,329.6888302
ADVE02_v2_10192,2589.416769
ADVE02_v2_10193,8.263980646
ADVE02_v2_10194,8.136663069
ADVE02_v2_10195,627.2714868
ADVE02_v2_10196,154.2700081
ADVE02_v2_10197,73.96396894
ADVE02_v2_10198,26.08551546
ADVE02_v2_10199,22.27569855
ADVE02_v2_10200,7.521302862
ADVE02_v2_10201,119.0046812
ADVE02_v2_10202,37.94955275
ADVE02_v2_10203,34.33682348
ADVE02_v2_10204,12.14847068
ADVE02_v2_10205,66.70859331
ADVE02_v2_10206,110.0376828
ADVE02_v2_10207,12.85695071
ADVE02_v2_10208,80.37982057
ADVE02_v2_10209,56.59822782
ADVE02_v2_10210,19.4991582
ADVE02_v2_10211,31.1992941
ADVE02_v2_10212,83.41293484
ADVE02_v2_10213,229.0175232
ADVE02_v2_10214,222.6691425
ADVE02_v2_10215,31.24016707
ADVE02_v2_10216,22.38550464
ADVE02_v2_10217,53.14308567
ADVE02_v2_10218,20.51016631
ADVE02_v2_10219,15.70612872
ADVE02_v2_10220,60.22841866
ADVE02_v2_10221,13.05010392
ADVE02_v2_10222,4.675650191
ADVE02_v2_10223,199.1525979
ADVE02_v2_10224,27.72982819
ADVE02_v2_10225,36.23348424
ADVE02_v2_10226,73.0084451
ADVE02_v2_10227,85.34720799
ADVE02_v2_10228,46.8630002
ADVE02_v2_10229,24.78353881
ADVE02_v2_10230,14.88657094
ADVE02_v2_10231,19.3123145
ADVE02_v2_10232,23.7105031
ADVE02_v2_10233,133.3841124
ADVE02_v2_10234,37.85210835
ADVE02_v2_10235,30.70201346
ADVE02_v2_10236,13.99104096
ADVE02_v2_10237,70.99808646
ADVE02_v2_10238,57.0808163
ADVE02_v2_10239,104.3270352
ADVE02_v2_10240,55.43995251
ADVE02_v2_10241,46.11055124
ADVE02_v2_10242,7.274817922
ADVE02_v2_10243,18.53127664
ADVE02_v2_10244,73.56690204
ADVE02_v2_10245,48.16541731
ADVE02_v2_10246,120.9359226
ADVE02_v2_10247,57.3914275
ADVE02_v2_10248,75.88606652
ADVE02_v2_10249,54.48108524
ADVE02_v2_10250,6.418187375
ADVE02_v2_10251,0.784515667
ADVE02_v2_10252,1.587061596
ADVE02_v2_10253,2.555395082
ADVE02_v2_10254,209.8655088
ADVE02_v2_10255,41.70478797
ADVE02_v2_10256,59.96903741
ADVE02_v2_10257,18.02019195
ADVE02_v2_10258,307.4525564
ADVE02_v2_10259,67.31380802
ADVE02_v2_10260,35.01538121
ADVE02_v2_10261,18.86706874
ADVE02_v2_10262,17.79253461
