gene,value
ADVE02_v2_10178,238.3142808
ADVE02_v2_10179,67.96933546
ADVE02_v2_10180,195.0277796
ADVE02_v2_10181,51.95739279
ADVE02_v2_10182,12361.72203
ADVE02_v2_10183,75.17784249
ADVE02_v2_10184,134.9721595
ADVE02_v2_10185,23.13879532
ADVE02_v2_10186,70.24401559
ADVE02_v2_10187,170.8073217
ADVE02_v2_10188,184.0036272
ADVE02_v2_10189,79.57352835
ADVE02_v2_10190,65.56030056
ADVE02_v2_10191,212.3036206
ADVE02_v2_10192,1329.469109
ADVE02_v2_10193,23.44046399
ADVE02_v2_10194,9.268616574
ADVE02_v2_10195,586.947023
ADVE02_v2_10196,161.4668973
ADVE02_v2_10197,85.44127035
ADVE02_v2_10198,61.17388991
ADVE02_v2_10199,39.98675243
ADVE02_v2_10200,11.87611594
ADVE02_v2_10201,192.1938861
ADVE02_v2_10202,62.22027525
ADVE02_v2_10203,67.33723613
ADVE02_v2_10204,19.25939371
ADVE02_v2_10205,107.8755588
ADVE02_v2_10206,130.2610127
ADVE02_v2_10207,33.04925822
ADVE02_v2_10208,65.60892414
ADVE02_v2_10209,717.3033088
ADVE02_v2_10210,10.51178385
ADVE02_v2_10211,9.532347658
ADVE02_v2_10212,16.4067416
ADVE02_v2_10213,97.23396002
ADVE02_v2_10214,481.2899743
ADVE02_v2_10215,32.00503323
ADVE02_v2_10216,34.47817684
ADVE02_v2_10217,55.46408963
ADVE02_v2_10218,22.67353836
ADVE02_v2_10219,8.091255252
ADVE02_v2_10220,68.93888768
ADVE02_v2_10221,11.56417831
ADVE02_v2_10222,5.766479963
ADVE02_v2_10223,606.6349798
ADVE02_v2_10224,42.28180051
ADVE02_v2_10225,82.62314485
ADVE02_v2_10226,83.73329931
ADVE02_v2_10227,79.75183948
ADVE02_v2_10228,58.32101822
ADVE02_v2_10229,29.44407213
ADVE02_v2_10230,17.55923977
ADVE02_v2_10231,59.78043452
ADVE02_v2_10232,54.10706573
ADVE02_v2_10233,472.7291054
ADVE02_v2_10234,87.90304992
ADVE02_v2_10235,40.63474382
ADVE02_v2_10236,18.05990084
ADVE02_v2_10237,61.28561783
ADVE02_v2_10238,82.60312728
ADVE02_v2_10239,142.2811351
ADVE02_v2_10240,87.60384271
ADVE02_v2_10241,29.87701291
ADVE02_v2_10242,17.97532203
ADVE02_v2_10243,41.09921818
ADVE02_v2_10244,121.5738519
ADVE02_v2_10245,71.14695077
ADVE02_v2_10246,121.1231837
ADVE02_v2_10247,69.11368192
ADVE02_v2_10248,100.4279741
ADVE02_v2_10249,66.60931164
ADVE02_v2_10250,8.253911278
ADVE02_v2_10251,1.832464039
ADVE02_v2_10252,2.513545705
ADVE02_v2_10253,2.965034046
ADVE02_v2_10254,60.82952255
ADVE02_v2_10255,56.84733792
ADVE02_v2_10256,160.0394811
ADVE02_v2_10257,14.40348276
ADVE02_v2_10258,165.6078146
ADVE02_v2_10259,33.42923721
ADVE02_v2_10260,23.74669747
ADVE02_v2_10261,22.29443687
ADVE02_v2_10262,19.09372027
ADVE02_v2_10263,16.31970983
ADVE02_v2_10264,11.62351826
ADVE02_v2_10265,7.521846824
ADVE02_v2_10266,6.408202157
ADVE02_v2_10267,10.40146162
ADVE02_v2_10268,17.44829494
ADVE02_v2_10269,26.87712084
ADVE02_v2_10270,12.07267686
ADVE02_v2_10271,31.93241318
ADVE02_v2_10272,24.05312941
ADVE02_v2_10273,53.38513503
ADVE02_v2_10274,50.26583591
ADVE02_v2_10275,71.24402441
ADVE02_v2_10276,477.9169705
ADVE02_v2_10277,13.20125916
ADVE02_v2_10278,10.22287101
ADVE02_v2_10279,166.134801
ADVE02_v2_10280,26.43296229
ADVE02_v2_10281,27.12792281
ADVE02_v2_10282,36.10829354
ADVE02_v2_10283,46.20723236
ADVE02_v2_10284,241.2149144
ADVE02_v2_10285,32.05986286
ADVE02_v2_10286,31.66875212
ADVE02_v2_10287,17.9271457
ADVE02_v2_10288,59.15752457
ADVE02_v2_10289,53.80208688
ADVE02_v2_10290,41.48811466
ADVE02_v2_10291,106.4176656
ADVE02_v2_10292,216.8119226
ADVE02_v2_10293,154.5488847
ADVE02_v2_10294,1401.7898
ADVE02_v2_10295,16.01322916
ADVE02_v2_10296,106.0899524
ADVE02_v2_10297,96.37903055
ADVE02_v2_10298,40.31307668
