gene,value
ADVE02_v2_10178,157.5108767
ADVE02_v2_10179,27.12036866
ADVE02_v2_10180,161.3257583
ADVE02_v2_10181,32.65098788
ADVE02_v2_10182,3405.053137
ADVE02_v2_10183,42.98033822
ADVE02_v2_10184,64.64389136
ADVE02_v2_10185,21.55109026
ADVE02_v2_10186,26.74008534
ADVE02_v2_10187,38.66038437
ADVE02_v2_10188,107.3725834
ADVE02_v2_10189,26.59329774
ADVE02_v2_10190,45.82482291
ADVE02_v2_10191,384.8672035
ADVE02_v2_10192,2891.373587
ADVE02_v2_10193,7.739038699
ADVE02_v2_10194,7.799900236
ADVE02_v2_10195,567.120239
ADVE02_v2_10196,133.8408473
ADVE02_v2_10197,73.10177229
ADVE02_v2_10198,27.11784366
ADVE02_v2_10199,22.23659737
ADVE02_v2_10200,7.935081141
ADVE02_v2_10201,104.5361548
ADVE02_v2_10202,48.74198521
ADVE02_v2_10203,31.45251019
ADVE02_v2_10204,10.57083277
ADVE02_v2_10205,58.69632549
ADVE02_v2_10206,88.82784901
ADVE02_v2_10207,10.58035089
ADVE02_v2_10208,10.27561903
ADVE02_v2_10209,43.79868471
ADVE02_v2_10210,14.56693459
ADVE02_v2_10211,21.37835568
ADVE02_v2_10212,67.93621267
ADVE02_v2_10213,164.2048126
ADVE02_v2_10214,187.2045077
ADVE02_v2_10215,25.10748342
ADVE02_v2_10216,20.48786704
ADVE02_v2_10217,52.32112768
ADVE02_v2_10218,16.31802266
ADVE02_v2_10219,11.58472132
ADVE02_v2_10220,59.22447543
ADVE02_v2_10221,12.41177777
ADVE02_v2_10222,5.126994209
ADVE02_v2_10223,272.3150674
ADVE02_v2_10224,28.73181956
ADVE02_v2_10225,27.38947694
ADVE02_v2_10226,72.94215801
ADVE02_v2_10227,80.33918669
ADVE02_v2_10228,48.98702303
ADVE02_v2_10229,21.71767697
ADVE02_v2_10230,12.70388943
ADVE02_v2_10231,16.46722702
ADVE02_v2_10232,16.71412756
ADVE02_v2_10233,99.9772779
ADVE02_v2_10234,38.1393484
ADVE02_v2_10235,28.3798895
ADVE02_v2_10236,13.68101128
ADVE02_v2_10237,74.73931516
ADVE02_v2_10238,52.53930002
ADVE02_v2_10239,93.69413671
ADVE02_v2_10240,50.11522367
ADVE02_v2_10241,40.55877634
ADVE02_v2_10242,4.941132459
ADVE02_v2_10243,13.58992213
ADVE02_v2_10244,68.59696062
ADVE02_v2_10245,41.39542677
ADVE02_v2_10246,112.4306035
ADVE02_v2_10247,51.06167095
ADVE02_v2_10248,64.17858186
ADVE02_v2_10249,42.18357908
ADVE02_v2_10250,6.093098504
ADVE02_v2_10251,1.731350202
ADVE02_v2_10252,1.657570035
ADVE02_v2_10253,2.19446779
ADVE02_v2_10254,238.9937587
ADVE02_v2_10255,40.86923977
ADVE02_v2_10256,42.36038149
ADVE02_v2_10257,21.71804924
ADVE02_v2_10258,291.3528152
ADVE02_v2_10259,59.75768372
ADVE02_v2_10260,33.46155097
ADVE02_v2_10261,20.95081153
ADVE02_v2_10262,17.66502563
ADVE02_v2_10263,14.70952339
ADVE02_v2_10264,13.37930831
ADVE02_v2_10265,8.68956194
ADVE02_v2_10266,3.092243072
ADVE02_v2_10267,5.175612005
ADVE02_v2_10268,12.46689324
ADVE02_v2_10269,24.89270707
ADVE02_v2_10270,10.18783054
ADVE02_v2_10271,35.9345195
ADVE02_v2_10272,15.74444104
ADVE02_v2_10273,47.79719689
ADVE02_v2_10274,25.24041058
ADVE02_v2_10275,90.56472868
ADVE02_v2_10276,653.2988852
ADVE02_v2_10277,15.21091564
ADVE02_v2_10278,12.11352349
ADVE02_v2_10279,184.8837081
ADVE02_v2_10280,19.47665778
ADVE02_v2_10281,13.77149849
ADVE02_v2_10282,11.98133545
ADVE02_v2_10283,18.9786604
ADVE02_v2_10284,188.2655031
ADVE02_v2_10285,15.88417446
ADVE02_v2_10286,17.0709507
ADVE02_v2_10287,9.752815068
ADVE02_v2_10288,25.44618519
ADVE02_v2_10289,44.81974281
ADVE02_v2_10290,39.80812839
ADVE02_v2_10291,160.194614
ADVE02_v2_10292,171.7355586
ADVE02_v2_10293,61.9763001
ADVE02_v2_10294,516.3961561
ADVE02_v2_10295,6.642890436
ADVE02_v2_10296,96.0866069
ADVE02_v2_10297,46.25791352
ADVE02_v2_10298,20.63289907
ADVE02_v2_10299,30.03317072
ADVE02_v2_10300,19.9763861
ADVE02_v2_10301,18.70595409
ADVE02_v2_10302,10.98545394
ADVE02_v2_10303,33.8871536
ADVE02_v2_10304,37.1406043
ADVE02_v2_10305,52.02807952
ADVE02_v2_10306,40.43667401
ADVE02_v2_10307,30.29305943
ADVE02_v2_10308,68.51965047
ADVE02_v2_10309,16.5769454
ADVE02_v2_10310,34.59294533
ADVE02_v2_10311,60.25686339
ADVE02_v2_10312,21.42507538
ADVE02_v2_10313,233.750605
ADVE02_v2_10314,15.71931266
ADVE02_v2_10315,19.74089699
ADVE02_v2_10316,56.12315521
ADVE02_v2_10317,1359.759643
ADVE02_v2_10318,14.21116355
ADVE02_v2_10319,28.22445763
ADVE02_v2_10320,42.49836923
ADVE02_v2_10321,39.90849662
ADVE02_v2_10322,29.40132056
ADVE02_v2_10323,24.55574568
ADVE02_v2_10324,31.49711582
ADVE02_v2_10325,16.86817394
ADVE02_v2_10326,146.4118818
ADVE02_v2_10327,83.07915128
ADVE02_v2_10328,74.81982439
ADVE02_v2_10329,144.3531034
ADVE02_v2_10330,90.58054256
ADVE02_v2_10331,24.14013598
ADVE02_v2_10332,7.85851677
ADVE02_v2_10333,11.89671817
ADVE02_v2_10334,73.57480772
ADVE02_v2_10335,238.1030406
ADVE02_v2_10336,5.861212108
ADVE02_v2_10337,17.94900931
ADVE02_v2_10338,11.75410101
ADVE02_v2_10339,10.6087808
ADVE02_v2_10340,10.37297526
ADVE02_v2_10341,14.44757433
ADVE02_v2_10342,6.061877362
ADVE02_v2_10343,126.2519219
ADVE02_v2_10344,213.4250337
ADVE02_v2_10345,81.60280257
ADVE02_v2_10346,33.45775487
ADVE02_v2_10347,172.3845183
ADVE02_v2_10348,22.79861307
ADVE02_v2_10349,68.48863305
ADVE02_v2_10350,156.4065486
ADVE02_v2_10351,28.25857095
ADVE02_v2_10352,23.66129634
ADVE02_v2_10353,9.696568415
ADVE02_v2_10354,14.1719838
ADVE02_v2_10355,30.09822508
ADVE02_v2_10356,398.0888439
ADVE02_v2_10357,481.7369059
ADVE02_v2_10358,66.62708639
ADVE02_v2_10359,106.7320398
ADVE02_v2_10360,128.6235604
ADVE02_v2_10361,112.7576212
ADVE02_v2_10362,60.85038202
ADVE02_v2_10363,67.41278947
ADVE02_v2_10364,132.9501254
ADVE02_v2_10365,101.0307632
ADVE02_v2_10366,147.9276814
ADVE02_v2_10367,23.99363866
ADVE02_v2_10368,10.41088485
ADVE02_v2_10369,27.45989854
ADVE02_v2_10370,43.34734147
ADVE02_v2_10371,145.7957262
ADVE02_v2_10372,11.24494807
ADVE02_v2_10373,11.0181746
ADVE02_v2_10374,21.29161108
ADVE02_v2_10375,8.533471648
ADVE02_v2_10376,186.8805632
ADVE02_v2_10377,23.46903775
ADVE02_v2_10378,15.31145791
ADVE02_v2_10379,30.0107008
ADVE02_v2_10380,154.9194218
ADVE02_v2_10381,346.6819686
ADVE02_v2_10382,4.365000971
ADVE02_v2_10383,17.77312914
ADVE02_v2_10384,29.2505023
ADVE02_v2_10385,112.8719566
ADVE02_v2_10386,784.6637297
ADVE02_v2_10387,204.3402792
ADVE02_v2_10388,129.9240306
ADVE02_v2_10389,224.2457528
ADVE02_v2_10390,143.0929162
ADVE02_v2_10391,215.769689
ADVE02_v2_10392,101.9828074
ADVE02_v2_10393,742.8294888
ADVE02_v2_10394,2944.955857
ADVE02_v2_10395,88.36812407
ADVE02_v2_10396,948.0257356
ADVE02_v2_10397,360.9578078
ADVE02_v2_10398,662.1487389
ADVE02_v2_10399,995.8126997
ADVE02_v2_10400,800.179528
ADVE02_v2_10402,5231.150868
ADVE02_v2_10403,9.757246308
ADVE02_v2_10404,31.82368054
ADVE02_v2_10405,12.55650317
ADVE02_v2_10406,11.96714393
ADVE02_v2_10407,13.27214508
ADVE02_v2_10408,13.93654066
ADVE02_v2_10409,15.69880113
ADVE02_v2_10410,16.1864673
ADVE02_v2_10411,7.656648827
ADVE02_v2_10412,17.7352319
ADVE02_v2_10413,10.07350357
ADVE02_v2_10414,16.24291148
ADVE02_v2_10415,40.22606014
ADVE02_v2_10416,23.72578428
ADVE02_v2_10417,44.82567747
ADVE02_v2_10418,97.89723044
ADVE02_v2_10419,35.95987363
ADVE02_v2_10420,96.78761058
ADVE02_v2_10421,376.420797
ADVE02_v2_10422,1.326083752
ADVE02_v2_10423,2.977180107
ADVE02_v2_10424,52.99887044
ADVE02_v2_10425,14.08924964
ADVE02_v2_10426,25.7336074
ADVE02_v2_10427,113.0405771
ADVE02_v2_10428,238.7938716
ADVE02_v2_10429,532.6673878
ADVE02_v2_10430,20.4572734
ADVE02_v2_10431,9.282034553
ADVE02_v2_10432,52.02125122
ADVE02_v2_10433,34.29484172
ADVE02_v2_10434,5408.640545
ADVE02_v2_10435,125.0983407
ADVE02_v2_10436,17.3137932
ADVE02_v2_10437,127.0244221
ADVE02_v2_10438,42.73402079
ADVE02_v2_10439,13.60307364
ADVE02_v2_10440,37.68125857
ADVE02_v2_10441,8.543959033
ADVE02_v2_10442,15.50244201
ADVE02_v2_10443,88.53949684
ADVE02_v2_10444,20.59471125
ADVE02_v2_10445,27.83775186
ADVE02_v2_10446,51.40893747
ADVE02_v2_10447,72.03213005
ADVE02_v2_10448,33.87564846
ADVE02_v2_10449,5.72654773
ADVE02_v2_10450,19.88844742
ADVE02_v2_10451,56.6736578
ADVE02_v2_10452,255.4688926
ADVE02_v2_10453,169.5136564
ADVE02_v2_10454,240.4111412
ADVE02_v2_10455,218.8435202
ADVE02_v2_10456,22.5352856
ADVE02_v2_10457,41.93298874
ADVE02_v2_10458,196.6159459
ADVE02_v2_10459,302.0219499
ADVE02_v2_10460,250.0103787
ADVE02_v2_10461,20.91299367
ADVE02_v2_10462,9.391706815
ADVE02_v2_10463,42.83127375
ADVE02_v2_10464,26.18229462
ADVE02_v2_10465,17.94077616
ADVE02_v2_10466,118.3027736
ADVE02_v2_10467,24.86542878
ADVE02_v2_10468,10.94410393
ADVE02_v2_10469,24.64627429
ADVE02_v2_10470,16.47713851
ADVE02_v2_10471,27.97434571
ADVE02_v2_10472,30.06669277
ADVE02_v2_10473,10.40413081
ADVE02_v2_10474,6.815527444
ADVE02_v2_10475,11.18483044
ADVE02_v2_10476,1.60055952
ADVE02_v2_10477,42.59128302
ADVE02_v2_10478,258.3673887
ADVE02_v2_10479,4.158958081
ADVE02_v2_10480,2.311774744
ADVE02_v2_10481,9.529624486
ADVE02_v2_10482,7.784731004
ADVE02_v2_10483,19.12561207
ADVE02_v2_10484,6.418128305
ADVE02_v2_10485,3.16460493
ADVE02_v2_10486,4.11304428
ADVE02_v2_10487,5.613059531
ADVE02_v2_10488,2.284972114
ADVE02_v2_10489,3.613042612
ADVE02_v2_10490,3.880705363
ADVE02_v2_10491,8.101289796
ADVE02_v2_10492,14.68532699
ADVE02_v2_10493,5.734412002
ADVE02_v2_10494,0.88950813
ADVE02_v2_10495,1.53118997
ADVE02_v2_10496,2.71681786
ADVE02_v2_10497,4.248677574
ADVE02_v2_10498,7.563019892
ADVE02_v2_10499,7.54439697
ADVE02_v2_10500,25.60613233
ADVE02_v2_10501,128.5433368
