gene,value
ADVE02_v2_10178,128.7490019
ADVE02_v2_10179,107.3601402
ADVE02_v2_10180,211.6735644
ADVE02_v2_10181,47.39840483
ADVE02_v2_10182,6878.104312
ADVE02_v2_10183,130.0681408
ADVE02_v2_10184,245.7273097
ADVE02_v2_10185,29.97303617
ADVE02_v2_10186,150.530347
ADVE02_v2_10187,329.9766768
ADVE02_v2_10188,280.3867238
ADVE02_v2_10189,147.821516
ADVE02_v2_10190,119.7495124
ADVE02_v2_10191,140.6930549
ADVE02_v2_10192,551.7337892
ADVE02_v2_10193,51.28292602
ADVE02_v2_10194,15.51074646
ADVE02_v2_10195,611.516053
ADVE02_v2_10196,208.1354576
ADVE02_v2_10197,144.3597692
ADVE02_v2_10198,120.1048226
ADVE02_v2_10199,77.52281623
ADVE02_v2_10200,23.95094314
ADVE02_v2_10201,190.2807822
ADVE02_v2_10202,187.5043438
ADVE02_v2_10203,144.2386206
ADVE02_v2_10204,26.72267295
ADVE02_v2_10205,125.5153649
ADVE02_v2_10206,166.2613444
ADVE02_v2_10207,63.31329044
ADVE02_v2_10208,356.8562927
ADVE02_v2_10209,1885.445064
ADVE02_v2_10210,24.26628901
ADVE02_v2_10211,20.11285558
ADVE02_v2_10212,36.29970389
ADVE02_v2_10213,121.4739608
ADVE02_v2_10214,609.6688257
ADVE02_v2_10215,49.60130792
ADVE02_v2_10216,65.53795283
ADVE02_v2_10217,77.05320567
ADVE02_v2_10218,41.16706695
ADVE02_v2_10219,17.79842366
ADVE02_v2_10220,91.27434038
ADVE02_v2_10221,11.94141146
ADVE02_v2_10222,5.52951138
ADVE02_v2_10223,231.9601728
ADVE02_v2_10224,44.90183685
ADVE02_v2_10225,155.467598
ADVE02_v2_10226,120.0883227
ADVE02_v2_10227,98.66148927
ADVE02_v2_10228,86.19811841
ADVE02_v2_10229,43.2532803
ADVE02_v2_10230,28.64762402
ADVE02_v2_10231,123.7886853
ADVE02_v2_10232,92.33100036
ADVE02_v2_10233,1008.562398
ADVE02_v2_10234,174.1504211
ADVE02_v2_10235,59.49069306
ADVE02_v2_10236,27.71267956
ADVE02_v2_10237,85.20610839
ADVE02_v2_10238,122.0184932
ADVE02_v2_10239,128.3265553
ADVE02_v2_10240,110.8928898
ADVE02_v2_10241,23.98905113
ADVE02_v2_10242,34.92533208
ADVE02_v2_10243,83.82772232
ADVE02_v2_10244,121.416083
ADVE02_v2_10245,67.64090909
ADVE02_v2_10246,169.326668
ADVE02_v2_10247,120.6211412
ADVE02_v2_10248,140.9605662
ADVE02_v2_10249,76.88142519
ADVE02_v2_10250,17.4452644
ADVE02_v2_10251,4.632623647
ADVE02_v2_10252,5.364920882
ADVE02_v2_10253,4.675344862
ADVE02_v2_10254,26.02385211
ADVE02_v2_10255,115.6860838
ADVE02_v2_10256,361.1450545
ADVE02_v2_10257,11.12640595
ADVE02_v2_10258,184.8174719
ADVE02_v2_10259,54.3616878
ADVE02_v2_10260,42.00106103
ADVE02_v2_10261,19.64295601
ADVE02_v2_10262,19.08083256
ADVE02_v2_10263,22.92500029
ADVE02_v2_10264,14.02729542
ADVE02_v2_10265,6.814117528
ADVE02_v2_10266,14.44513434
ADVE02_v2_10267,17.21278382
ADVE02_v2_10268,26.28075739
ADVE02_v2_10269,32.13741709
ADVE02_v2_10270,16.30137988
ADVE02_v2_10271,51.28764916
ADVE02_v2_10272,31.1180106
ADVE02_v2_10273,59.88816546
ADVE02_v2_10274,67.72013265
ADVE02_v2_10275,63.44590425
ADVE02_v2_10276,545.4700175
ADVE02_v2_10277,10.0944963
ADVE02_v2_10278,11.28028405
ADVE02_v2_10279,181.2383592
ADVE02_v2_10280,41.41753567
ADVE02_v2_10281,47.77617929
ADVE02_v2_10282,68.25383546
ADVE02_v2_10283,97.71358398
ADVE02_v2_10284,288.6686964
ADVE02_v2_10285,52.61394254
ADVE02_v2_10286,45.47183495
ADVE02_v2_10287,26.71418785
ADVE02_v2_10288,109.6754478
ADVE02_v2_10289,74.63427732
ADVE02_v2_10290,51.97536433
ADVE02_v2_10291,95.04150831
ADVE02_v2_10292,162.4869141
ADVE02_v2_10293,129.7334317
ADVE02_v2_10294,1777.385685
ADVE02_v2_10295,26.82761558
ADVE02_v2_10296,66.78189609
ADVE02_v2_10297,190.7057983
ADVE02_v2_10298,76.99765271
ADVE02_v2_10299,101.7477221
ADVE02_v2_10300,61.37428303
ADVE02_v2_10301,56.49816246
ADVE02_v2_10302,49.17777336
ADVE02_v2_10303,38.03322827
ADVE02_v2_10304,37.12574288
ADVE02_v2_10305,70.80387535
ADVE02_v2_10306,81.24060536
ADVE02_v2_10307,62.65506404
ADVE02_v2_10308,117.7529146
ADVE02_v2_10309,34.82377156
ADVE02_v2_10310,53.31381384
ADVE02_v2_10311,58.2753715
ADVE02_v2_10312,20.88210208
ADVE02_v2_10313,418.7454485
ADVE02_v2_10314,63.32925809
ADVE02_v2_10315,43.64095397
ADVE02_v2_10316,94.28940896
ADVE02_v2_10317,1889.279967
ADVE02_v2_10318,53.77148556
ADVE02_v2_10319,94.95840935
ADVE02_v2_10320,131.2069055
ADVE02_v2_10321,132.4231921
ADVE02_v2_10322,36.52275486
ADVE02_v2_10323,30.59641117
ADVE02_v2_10324,49.82981383
ADVE02_v2_10325,42.70339212
ADVE02_v2_10326,492.5785525
ADVE02_v2_10327,79.99112739
ADVE02_v2_10328,107.3720009
ADVE02_v2_10329,173.5403297
ADVE02_v2_10330,22.96302666
ADVE02_v2_10331,22.06690424
ADVE02_v2_10332,9.426785804
ADVE02_v2_10333,18.11096495
ADVE02_v2_10334,176.0658255
ADVE02_v2_10335,706.3133142
ADVE02_v2_10336,24.5562449
ADVE02_v2_10337,62.27902515
ADVE02_v2_10338,38.34931875
ADVE02_v2_10339,40.09480147
ADVE02_v2_10340,47.31846589
ADVE02_v2_10341,35.88280584
ADVE02_v2_10342,39.70779235
ADVE02_v2_10343,725.9048578
ADVE02_v2_10344,811.2188928
ADVE02_v2_10345,260.6279455
ADVE02_v2_10346,29.2598413
ADVE02_v2_10347,154.7159641
ADVE02_v2_10348,82.83749085
ADVE02_v2_10349,220.8491991
ADVE02_v2_10350,545.8080814
ADVE02_v2_10351,165.3213152
ADVE02_v2_10352,50.18484722
ADVE02_v2_10353,30.93460216
ADVE02_v2_10354,29.06220132
ADVE02_v2_10355,57.66327499
ADVE02_v2_10356,956.3902009
ADVE02_v2_10357,1207.275032
ADVE02_v2_10358,161.5908097
ADVE02_v2_10359,75.64032565
ADVE02_v2_10360,142.6349303
ADVE02_v2_10361,153.4817089
ADVE02_v2_10362,84.41923827
ADVE02_v2_10363,94.35039708
ADVE02_v2_10364,151.3910559
ADVE02_v2_10365,144.2337493
ADVE02_v2_10366,213.1724641
ADVE02_v2_10367,78.84686076
ADVE02_v2_10368,35.55990827
ADVE02_v2_10369,59.70331279
ADVE02_v2_10370,266.4752424
ADVE02_v2_10371,1248.316337
ADVE02_v2_10372,42.31237732
ADVE02_v2_10373,11.44978976
ADVE02_v2_10374,27.88747675
ADVE02_v2_10375,20.38288755
ADVE02_v2_10376,206.8062311
ADVE02_v2_10377,62.7086155
ADVE02_v2_10378,51.20481209
